"StartDate","EndDate","Status","IPAddress","Progress","Duration__in_seconds_","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","Q39","C1_Car_Usage","C2_Car_type","C3_Travel_Distance","C4_Public_Transport","Q74","C5_Air_Travel","C4_Public_Transport2","E1_Electricity_Usage","E2_Electricity_bill_1","E3_natural_gas_bill_1","H2_Heating_type","H3_Housing","H4_Housing","H4_Housing_4_TEXT","F1_Cooking_Equipment","F1_Cooking_Equipment_4_TEXT","F3_Q28_1","F3_Q28_2","F3_Q28_3","F3_Q28_4","W1_Q30_3","CL1_Q31","CL2_Q35","Q43","Q42","Q42_4_TEXT","Q44_1","Q44_2","Q44_3","Q44_4","Q73_1","Q73_2","Q73_3","Q73_4","Q73_5","Age","Gender","Q40","Q41","Q75","Family_size_6","Family_size_14","Family_size_15","US_Zip_Code"
2024-05-17 02:29:42,2024-05-17 02:36:22,0,"104.229.232.9",100,399,1,2024-05-17 02:36:23,"R_7cANUjWpqgOlqeZ","","","","","43.0333","-74.9812","anonymous","EN",4,4,3,1,5,4,2,5,1,85,125,1,2,2,"",2,"",10,0,4,10,35,3,"2",3,3,"",6,4,4,4,6,6,6,6,6,4,1,6,3,2,"2","0","0","13365"
2024-05-17 02:30:20,2024-05-17 02:37:01,0,"154.16.192.98",100,400,1,2024-05-17 02:37:01,"R_3wRGp06KgfnwGhb","","","","","40.7123","-74.0068","anonymous","EN",4,5,3,1,3,2,3,4,3,109,100,1,2,1,"",1,"",6,3,2,5,58,2,"5",3,1,"",6,7,6,7,6,6,6,2,2,2,1,5,3,1,"1","0","0","10036"
2024-05-17 02:30:25,2024-05-17 02:37:08,0,"73.248.116.65",100,402,1,2024-05-17 02:37:08,"R_2dWy4PqOY18GAa2","","","","","40.4856","-74.6265","anonymous","EN",4,2,3,2,5,4,1,5,1,100,100,4,1,2,"",1,"",7,0,7,0,60,4,"1",4,3,"",4,4,4,4,4,4,2,2,2,4,1,5,4,2,"1","0","2","08844"
2024-05-17 02:33:15,2024-05-17 02:38:01,0,"75.246.29.239",100,285,1,2024-05-17 02:38:01,"R_1eXpIFPJ3pW52Dt","","","","","42.7273","-73.6696","anonymous","EN",4,5,3,1,5,4,1,5,1,118,111,2,3,2,"",1,"",9,0,0,6,67,3,"8",1,2,"",7,6,7,6,6,6,2,1,2,3,2,3,3,1,"4","0","0","12180"
2024-05-17 02:27:25,2024-05-17 02:38:31,0,"154.16.192.85",100,666,1,2024-05-17 02:38:32,"R_3gZ13CXDpUH8nXM","","","","","40.7123","-74.0068","anonymous","EN",4,5,2,2,2,1,2,3,4,300,250,3,2,2,"",2,"",14,3,3,13,105,3,"6",1,2,"",6,6,6,6,2,2,2,2,2,2,1,5,4,1,"3","2","1","10116"
2024-05-17 02:35:05,2024-05-17 02:40:31,0,"158.51.113.188",100,325,1,2024-05-17 02:40:31,"R_1ux0TOdHPyMIevD","","","","","42.0003","-88.1422","anonymous","EN",4,3,2,1,2,1,4,2,2,138,72,3,3,1,"",3,"",11,6,4,9,69,3,"1",3,3,"",7,6,7,7,6,7,4,2,4,3,1,6,5,1,"1","0","0","90001"
2024-05-17 02:28:10,2024-05-17 02:41:46,0,"108.6.144.116",100,815,1,2024-05-17 02:41:46,"R_3r0aKAvKN2ByCNm","","","","","40.7637","-73.7695","anonymous","EN",4,5,3,2,4,2,2,4,2,192,180,2,3,2,"",2,"",0,0,0,12,85,3,"4",5,1,"",2,2,4,4,2,2,2,2,2,4,2,5,3,NA,"2","2","0","11360"
2024-05-17 02:33:30,2024-05-17 02:42:42,0,"100.18.47.32",100,552,1,2024-05-17 02:42:42,"R_3L1LSHatmySlq2t","","","","","39.1244","-76.495","anonymous","EN",4,5,2,1,4,4,2,4,2,180,3,2,3,2,"",2,"",4,1,11,10,0,4,"2",6,2,"",7,6,6,4,6,6,6,6,6,5,2,5,4,2,"1","0","2","21122"
2024-05-17 02:37:07,2024-05-17 02:42:47,0,"47.16.75.107",100,339,1,2024-05-17 02:42:47,"R_2hxUnbOON0v5m9S","","","","","40.6221","-73.981","anonymous","EN",4,2,3,1,1,2,1,5,1,80,58,3,3,3,"",1,"",14,3,7,3,49,4,"1",2,3,"",7,6,7,7,7,7,6,6,6,4,1,2,2,1,"1","0","0","11204"
2024-05-17 02:38:09,2024-05-17 02:44:28,0,"24.59.181.218",100,379,1,2024-05-17 02:44:29,"R_105Ka2GU2IPnK07","","","","","43.0821","-75.6474","anonymous","EN",4,4,3,1,5,4,1,5,1,100,90,1,2,2,"",1,"",6,4,0,7,60,4,"2",5,1,"",6,6,4,4,6,7,4,2,6,6,2,3,2,3,"3","0","0","13421"
2024-05-17 02:36:49,2024-05-17 02:46:00,0,"73.167.189.115",100,550,1,2024-05-17 02:46:00,"R_5XwGBFEmiyS2MWB","","","","","41.3885","-73.0791","anonymous","EN",4,4,2,2,4,4,3,4,3,120,90,1,2,2,"",2,"",10,0,0,5,50,2,"2",4,1,"",6,6,4,2,7,7,2,2,2,3,1,5,3,2,"1","0","0","06483"
2024-05-17 02:42:21,2024-05-17 02:47:26,0,"192.50.101.58",100,305,1,2024-05-17 02:47:27,"R_4CTDOQRRPufqk8t","","","","","43.0459","141.3543","anonymous","EN",4,2,5,4,1,1,4,4,4,152,95,1,3,1,"",2,"",14,0,0,12,44,3,"2",2,3,"",7,6,4,2,6,2,6,1,4,3,1,6,5,1,"2","0","0","08901"
2024-05-17 02:34:59,2024-05-17 02:47:27,0,"73.160.117.231",100,748,1,2024-05-17 02:47:28,"R_5VkycLeKwqkxQYh","","","","","39.7513","-74.9999","anonymous","EN",4,5,3,1,4,4,2,4,3,175,22,4,2,1,"",2,"",10,0,2,4,0,4,"1",6,2,"",7,7,7,7,7,7,4,4,4,3,2,3,5,2,"2","0","0","08096"
2024-05-17 02:34:15,2024-05-17 02:48:03,0,"98.15.67.14",100,828,1,2024-05-17 02:48:04,"R_7v85uDeDFxJ6tLW","","","","","40.7828","-73.9745","anonymous","EN",4,2,3,4,1,4,1,5,1,93,49,3,2,1,"",1,"",4,0,2,14,0,2,"2",4,1,"",7,6,6,2,7,7,2,2,2,3,1,6,5,1,"2","0","0","10024"
2024-05-17 02:42:55,2024-05-17 02:48:20,0,"107.189.48.219",100,325,1,2024-05-17 02:48:21,"R_3KHj5aYN9PjWc59","","","","","42.5213","-72.8108","anonymous","EN",4,4,3,2,5,4,2,4,2,165,102,1,2,1,"",2,"",6,2,6,4,0,3,"1",1,3,"",7,7,7,7,6,6,4,4,6,4,2,5,3,3,"3","0","1","01330"
2024-05-17 02:36:15,2024-05-17 02:52:34,0,"69.120.57.96",100,979,1,2024-05-17 02:52:35,"R_3IFxmq0WjtRU1Uc","","","","","40.8806","-74.1456","anonymous","EN",4,4,3,2,2,2,2,5,1,131,149,2,2,1,"",1,"",6,0,1,2,37,4,"2",2,2,"",4,2,4,4,2,4,2,1,1,4,1,3,2,2,"1","0","0","07663"
2024-05-17 02:30:45,2024-05-17 02:55:18,0,"38.134.96.60",100,1472,1,2024-05-17 02:55:18,"R_1NcGNenkBYSCCFb","","","","","39.0469","-77.4903","anonymous","EN",4,5,2,2,2,1,3,3,4,180,105,2,3,2,"",1,"",7,0,0,10,105,2,"2",4,1,"",7,7,7,7,7,7,7,2,7,3,1,5,4,1,"2","2","0","11206"
2024-05-17 02:48:41,2024-05-17 02:57:08,0,"69.113.193.111",100,506,1,2024-05-17 02:57:08,"R_162sVqgfn73HPoh","","","","","40.6586","-73.6026","anonymous","EN",4,4,3,1,2,2,3,3,1,260,192,3,3,2,"",1,"",4,3,2,4,150,2,"3",1,2,"",6,6,6,6,6,6,2,2,2,3,2,5,5,2,"2","0","2","11510"
2024-05-17 02:52:24,2024-05-17 03:00:07,0,"172.56.193.102",100,462,1,2024-05-17 03:00:07,"R_1P5JR1RCNQKcCKP","","","","","42.3253","-71.0951","anonymous","EN",4,5,2,1,3,4,3,3,2,102,105,2,2,2,"",2,"",9,0,0,1,45,3,"1",6,2,"",7,6,7,6,7,6,4,6,7,4,1,5,4,1,"2","3","0","10457"
2024-05-17 02:55:41,2024-05-17 03:01:05,0,"108.5.233.120",100,323,1,2024-05-17 03:01:05,"R_3Ep6JNn0vqyj9ga","","","","","40.7182","-74.0476","anonymous","EN",4,5,3,2,5,4,2,5,4,102,146,3,3,2,"",1,"",5,0,0,7,32,3,"5",3,1,"",6,6,7,4,6,7,7,4,6,7,1,2,5,2,"2","0","2","07072"
2024-05-17 02:56:03,2024-05-17 03:02:07,0,"68.33.10.42",100,363,1,2024-05-17 03:02:07,"R_2DJcaREbwht5SBv","","","","","38.9208","-77.036","anonymous","EN",4,2,3,4,4,1,1,4,2,0,0,4,2,1,"",1,"",0,0,13,13,0,5,"0",1,2,"",7,7,7,7,7,7,7,7,7,7,2,5,2,1,"0","0","1","20037"
2024-05-17 02:55:20,2024-05-17 03:02:14,0,"141.239.96.69",100,414,1,2024-05-17 03:02:14,"R_2fr8MwvjgJArI9y","","","","","21.4082","-157.7396","anonymous","EN",4,3,3,1,4,1,2,4,2,100,100,3,2,2,"",2,"",12,0,0,6,95,5,"3",3,3,"",6,6,6,6,6,6,6,6,6,2,1,2,2,2,"3","2","1","96734"
2024-05-17 02:51:13,2024-05-17 03:04:33,0,"64.88.198.234",100,799,1,2024-05-17 03:04:34,"R_7NRqeONzpxAZZ8p","","","","","26.214","-98.3267","anonymous","EN",4,4,2,2,2,1,4,2,3,242,183,2,3,2,"",3,"",12,3,3,12,89,1,"3",7,1,"",7,6,6,4,7,6,4,4,6,3,1,5,3,1,"2","1","0","10013"
2024-05-17 02:56:33,2024-05-17 03:05:08,0,"100.0.84.151",100,515,1,2024-05-17 03:05:09,"R_72MuojZl3tMtcNL","","","","","42.4178","-71.1134","anonymous","EN",4,5,3,3,4,1,3,5,1,70,30,1,1,1,"",1,"",10,0,4,7,40,4,"2",1,2,"",6,6,6,4,6,6,4,2,6,3,1,6,6,2,"2","0","0","02176"
2024-05-17 03:06:44,2024-05-17 03:15:16,0,"24.0.109.188",100,511,1,2024-05-17 03:15:16,"R_1GV3Hug4L8WUjvj","","","","","39.9242","-75.0193","anonymous","EN",4,1,NA,NA,4,1,2,4,3,82,63,2,2,2,"",2,"",7,0,0,3,42,4,"1",3,3,"",7,6,6,7,6,7,2,6,6,3,1,5,3,2,"1","0","0","08002"
2024-05-17 03:09:34,2024-05-17 03:16:47,0,"71.250.60.13",100,432,1,2024-05-17 03:16:48,"R_8d05B7EHWAdteaz","","","","","40.0351","-74.1107","anonymous","EN",4,5,3,2,5,4,1,5,3,124,84,1,2,2,"",1,"",0,0,0,7,88,3,"7",4,1,"",7,1,2,6,1,1,1,1,1,5,1,3,2,2,"2","0","0","08723"
2024-05-17 02:50:57,2024-05-17 03:17:19,0,"198.145.103.201",100,1581,1,2024-05-17 03:17:19,"R_3XPWB8lxb3o2Rm9","","","","","37.751","-97.822","anonymous","EN",4,2,3,1,4,2,3,4,2,169,239,3,2,1,"",1,"",6,5,7,4,110,2,"2",5,3,"",6,2,4,6,6,2,4,6,2,2,1,5,5,2,"2","0","0","90245"
2024-05-17 03:12:38,2024-05-17 03:19:30,0,"174.229.61.28",100,411,1,2024-05-17 03:19:31,"R_3O1zmCoNgJb5DOU","","","","","40.6713","-73.8943","anonymous","EN",4,4,3,1,4,1,4,4,3,204,41,3,4,2,"",1,"",3,12,12,2,37,3,"5",2,2,"",6,4,7,6,6,6,2,2,2,4,2,5,6,NA,"4","1","0","10309"
2024-05-17 03:10:17,2024-05-17 03:24:26,0,"71.168.183.32",100,848,1,2024-05-17 03:24:27,"R_6MRkF6BXZJyIRCd","","","","","40.2381","-74.7822","anonymous","EN",4,4,3,3,4,2,2,5,2,111,115,1,3,2,"",1,"",5,0,3,5,49,3,"3",2,2,"",2,2,2,2,6,6,4,4,4,5,1,6,6,2,"3","0","0","08648"
2024-05-17 03:20:43,2024-05-17 03:27:30,0,"38.42.75.199",100,407,1,2024-05-17 03:27:31,"R_2ctKpwkHxK1mN3n","","","","","40.8142","-73.9081","anonymous","EN",4,1,NA,NA,1,4,2,4,1,60,0,1,2,1,"",2,"",0,0,0,14,0,3,"3",1,2,"",7,7,7,7,7,7,6,7,7,3,2,5,1,1,"1","1","0","10455"
2024-05-17 03:24:52,2024-05-17 03:31:24,0,"141.239.151.94",100,392,1,2024-05-17 03:31:25,"R_7rifTARVpNMJZ5f","","","","","21.289","-157.8028","anonymous","EN",4,3,3,4,4,4,2,5,1,270,136,4,2,1,"",2,"",14,0,0,11,15,5,"2",2,2,"",6,6,4,4,6,4,4,6,4,2,1,2,3,2,"3","1","0","96822"
2024-05-17 03:24:42,2024-05-17 03:32:50,0,"74.64.200.55",100,488,1,2024-05-17 03:32:51,"R_7qu81T7y7LRK0w1","","","","","40.782","-73.9953","anonymous","EN",4,2,3,2,2,1,3,3,2,150,50,1,2,1,"",1,"",14,0,0,5,75,3,"3",4,1,"",6,7,6,7,2,4,2,6,2,6,1,3,5,1,"3","0","2","10023"
2024-05-17 03:28:14,2024-05-17 03:34:02,0,"38.27.143.253",100,348,1,2024-05-17 03:34:02,"R_6PER8DQY84BzkhX","","","","","42.3414","-77.3049","anonymous","EN",4,4,3,4,4,2,1,5,1,80,0,4,3,2,"",2,"",0,14,9,0,11,5,"2",2,4,"Working Families Party",4,6,4,6,6,4,4,7,4,6,2,3,2,1,"1","0","1","14810"
2024-05-17 03:19:07,2024-05-17 03:36:12,0,"154.16.192.55",100,1024,1,2024-05-17 03:36:12,"R_5EbbWmjZrvhWMUC","","","","","40.7123","-74.0068","anonymous","EN",4,5,3,1,2,2,5,3,3,150,180,3,3,2,"",1,"",14,2,0,14,60,5,"4",5,1,"",1,4,4,1,1,1,1,1,1,3,1,5,4,1,"2","2","0","10118"
2024-05-17 03:33:04,2024-05-17 03:37:22,0,"172.58.187.217",100,257,1,2024-05-17 03:37:22,"R_6IQ8MVyDt8j3zxM","","","","","39.0005","-76.9712","anonymous","EN",4,5,3,3,3,1,5,4,2,216,109,2,3,2,"",2,"",8,7,7,7,85,3,"10",2,2,"",6,6,6,4,6,7,6,6,6,4,2,6,5,2,"1","2","9","21619"
2024-05-17 03:32:41,2024-05-17 03:37:44,0,"69.140.203.68",100,303,1,2024-05-17 03:37:45,"R_8wuBAVjgK9SHiEO","","","","","39.3529","-76.5743","anonymous","EN",4,4,3,2,4,2,1,5,3,92,37,3,2,3,"",1,"",5,1,3,7,100,4,"1",3,2,"",7,7,7,7,7,7,7,6,7,3,1,2,2,1,"1","0","0","21213"
2024-05-17 03:36:13,2024-05-17 03:42:49,0,"24.198.118.76",100,395,1,2024-05-17 03:42:50,"R_7GCDGGQvjnhQ1Gm","","","","","43.2216","-77.0484","anonymous","EN",4,4,3,2,5,4,2,5,1,241,0,2,3,2,"",2,"",5,0,0,7,30,3,"2",3,3,"",6,6,6,6,6,6,4,6,6,5,2,4,3,2,"2","0","0","14551"
2024-05-17 03:37:51,2024-05-17 03:43:30,0,"98.5.179.26",100,338,1,2024-05-17 03:43:30,"R_5emm7eFxTOteZac","","","","","42.5236","-78.6825","anonymous","EN",4,5,3,2,5,4,1,5,2,126,100,1,3,2,"",1,"",7,0,5,14,121,4,"14",5,1,"",6,2,6,4,2,4,2,2,2,5,2,5,5,3,"2","2","0","14141"
2024-05-17 03:40:13,2024-05-17 03:45:55,0,"68.173.137.138",100,342,1,2024-05-17 03:45:56,"R_7pPZ8Yim5ouVL9v","","","","","41.4535","-74.4774","anonymous","EN",4,4,3,2,5,4,1,5,1,90,84,1,3,2,"",2,"",10,0,0,8,35,3,"1",7,1,"",1,1,1,1,1,1,1,1,1,3,1,2,4,2,"4","0","0","10940"
2024-05-17 03:36:12,2024-05-17 03:47:15,0,"68.142.33.37",100,663,1,2024-05-17 03:47:16,"R_5C3jYNI0Q0aI2vP","","","","","44.3371","-73.0918","anonymous","EN",4,1,NA,NA,4,4,1,5,3,25,19,1,1,1,"",2,"",1,4,7,5,0,5,"1",6,2,"",7,7,7,7,7,7,6,4,6,7,1,5,1,3,"1","0","1","05673"
2024-05-17 03:45:51,2024-05-17 03:49:46,0,"172.56.44.163",100,235,1,2024-05-17 03:49:47,"R_2OVzsgPAsDbN2zP","","","","","21.3266","-157.8621","anonymous","EN",4,5,5,1,4,4,2,5,1,116,116,4,2,1,"",2,"",10,0,0,9,0,1,"2",1,2,"",7,7,7,7,7,7,7,7,7,2,2,3,4,2,"3","0","0","96797"
2024-05-17 03:49:00,2024-05-17 03:51:40,0,"174.206.225.72",100,159,1,2024-05-17 03:51:41,"R_7VxNfpOS4xAWlMZ","","","","","40.6357","-74.2527","anonymous","EN",4,1,NA,NA,1,4,3,4,1,107,180,1,3,2,"",2,"",5,0,2,10,70,1,"1",2,1,"",2,4,7,7,4,4,4,4,4,3,1,4,6,2,"3","0","0","07960"
2024-05-17 03:44:23,2024-05-17 03:51:53,0,"24.62.104.67",100,450,1,2024-05-17 03:51:54,"R_3h7jflGoLmHu7DP","","","","","42.7853","-71.0714","anonymous","EN",4,2,3,1,5,4,1,5,1,40,30,1,2,2,"",1,"",1,0,6,5,100,4,"2",2,2,"",7,7,7,7,7,7,6,6,6,5,1,3,3,2,"5","1","0","01830"
2024-05-17 03:45:40,2024-05-17 03:52:49,0,"98.155.102.103",100,429,1,2024-05-17 03:52:50,"R_34dQjcXu8Uzh6nD","","","","","21.9837","-159.3693","anonymous","EN",4,1,NA,NA,5,4,2,5,1,300,0,4,2,2,"",1,"",7,2,0,7,100,1,"1",6,2,"",7,7,7,7,6,7,6,6,6,3,2,2,3,3,"3","0","0","96746"
2024-05-17 03:44:39,2024-05-17 03:53:22,0,"76.119.24.203",100,522,1,2024-05-17 03:53:23,"R_2WPaiRTEuPGoocg","","","","","42.2667","-71.0192","anonymous","EN",4,3,3,1,4,3,2,4,1,32,49,1,2,3,"",1,"",2,1,1,1,18,3,"4",4,1,"",7,6,6,4,6,6,4,2,4,4,2,2,3,2,"2","0","0","06340"
2024-05-17 03:45:50,2024-05-17 03:53:32,0,"64.22.49.121",100,462,1,2024-05-17 03:53:33,"R_3R8nJgd04JWAfux","","","","","42.6619","-74.2994","anonymous","EN",4,4,3,3,5,4,1,5,4,190,0,4,2,2,"",4,"Propane Gas stove",4,0,2,14,0,3,"7",6,2,"",7,7,7,7,7,7,7,7,7,6,2,3,4,3,"4","0","0","13324"
2024-05-17 03:51:09,2024-05-17 03:55:25,0,"74.67.88.103",100,256,1,2024-05-17 03:55:26,"R_5SnFxrro8NBKa6B","","","","","42.2932","-74.9291","anonymous","EN",4,1,NA,NA,2,4,2,4,4,48,0,4,1,1,"",2,"",4,0,2,13,14,5,".5",6,3,"",7,7,7,7,7,7,7,1,2,4,2,5,1,3,"1","0","0","13856"
2024-05-17 03:50:37,2024-05-17 03:56:06,0,"98.204.144.186",100,329,1,2024-05-17 03:56:07,"R_2dugwZjqfhvBJ2j","","","","","39.4777","-77.3439","anonymous","EN",4,3,3,4,5,4,2,5,1,141,54,4,3,2,"",2,"",4,2,2,2,91,3,"6",2,2,"",7,7,7,7,6,7,6,2,6,6,2,5,3,2,"2","0","0","21793"
2024-05-17 03:49:22,2024-05-17 03:58:14,0,"24.194.112.211",100,532,1,2024-05-17 03:58:15,"R_5ey8nUuAja5uBDE","","","","","43.0642","-74.334","anonymous","EN",4,1,NA,NA,4,4,1,5,1,6,23,3,1,2,"",1,"",7,7,7,6,10,5,"0.01",3,2,"",4,4,4,4,4,4,4,4,4,3,1,5,1,1,"1","0","0","12078"
2024-05-17 03:49:18,2024-05-17 03:59:35,0,"108.5.115.166",100,616,1,2024-05-17 03:59:35,"R_2ltvkG2DtELPR61","","","","","40.7869","-74.2535","anonymous","EN",4,4,3,1,4,2,2,5,2,250,300,1,3,2,"",1,"",4,2,8,8,95,4,"7",3,3,"",7,7,7,7,6,6,6,4,6,4,2,5,6,2,"2","3","0","07052"
2024-05-17 03:53:47,2024-05-17 03:59:45,0,"24.0.66.186",100,357,1,2024-05-17 03:59:45,"R_7c4wE389F6Wi0uJ","","","","","40.7872","-74.7883","anonymous","EN",4,3,1,2,5,4,2,5,1,300,0,1,4,2,"",2,"",10,2,7,7,0,3,"5",3,3,"",7,6,7,1,6,6,6,7,6,6,2,5,5,3,"1","3","0","07830"
2024-05-17 03:55:54,2024-05-17 04:01:43,0,"24.185.45.223",100,348,1,2024-05-17 04:01:44,"R_1OTYjeVXwsgMIKJ","","","","","41.0496","-73.7782","anonymous","EN",4,4,3,1,4,4,3,3,4,216,0,3,2,1,"",1,"",8,0,0,2,0,4,"2",1,2,"",7,7,7,7,7,7,7,7,7,7,1,5,5,2,"0","0","2","10706"
2024-05-17 03:55:18,2024-05-17 04:05:44,0,"66.66.119.16",100,626,1,2024-05-17 04:05:45,"R_2QRHaxQSy7khv3S","","","","","43.0908","-77.4348","anonymous","EN",4,5,5,2,4,2,3,5,4,205,0,2,4,2,"",2,"",7,0,0,14,47,4,"7",5,3,"",2,2,2,2,1,2,1,1,1,5,1,5,5,2,"2","3","0","14450"
2024-05-17 03:48:13,2024-05-17 04:05:46,0,"24.0.205.252",100,1053,1,2024-05-17 04:05:47,"R_52WaBJJuVwIonge","","","","","40.7876","-74.06","anonymous","EN",4,5,3,3,4,1,4,4,4,122,42,2,2,2,"",1,"",14,0,0,9,39,3,"1",5,3,"",1,1,1,1,1,1,1,1,1,4,5,3,3,2,"1","0","0","07094"
2024-05-17 03:57:57,2024-05-17 04:05:47,0,"173.64.1.22",100,470,1,2024-05-17 04:05:48,"R_2GvTl9ILb8VZGZr","","","","","42.9732","-78.8475","anonymous","EN",4,5,3,2,5,4,2,4,4,148,67,1,2,2,"",1,"",5,1,1,7,37,3,"6",1,3,"",7,6,7,6,6,6,6,4,4,5,2,4,2,2,"3","0","0","14223"
2024-05-17 04:00:38,2024-05-17 04:06:17,0,"50.48.129.17",100,339,1,2024-05-17 04:06:18,"R_3g289OdEs3iqCZa","","","","","43.1661","-77.5555","anonymous","EN",4,2,3,2,5,4,2,4,1,89,149,3,4,2,"",2,"",2,4,11,8,41,4,"3",1,2,"",7,7,7,6,7,7,7,7,7,7,2,6,2,3,"1","0","0","14826"
2024-05-17 03:55:24,2024-05-17 04:06:19,0,"45.46.201.96",100,654,1,2024-05-17 04:06:19,"R_8cqO7SIF3zjGjSw","","","","","43.0908","-77.4348","anonymous","EN",4,5,3,1,4,1,4,5,4,170,26,2,4,2,"",2,"",7,0,0,7,34,1,"14",5,1,"",2,2,2,1,1,6,1,1,1,4,2,6,5,2,"2","3","0","14526"
2024-05-17 03:56:22,2024-05-17 04:07:40,0,"74.208.247.92",100,678,1,2024-05-17 04:07:40,"R_1b0ga5utBDN6NkB","","","","","37.751","-97.822","anonymous","EN",4,5,3,1,3,1,2,3,4,147,146,1,3,2,"",1,"",7,0,0,0,53,2,"2",3,3,"",4,4,4,4,2,2,2,1,1,5,2,5,5,2,"2","0","0","14617"
